EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,CLASE
-4,-3,-3,-1,-2,-6,-21,-3,C
-7,3,0,1,3,0,-28,-6,C
3,-9,0,1,1,-7,-11,-2,C
-20,0,-1,-2,-2,0,13,-10,C
21,4,0,-1,0,-1,-22,3,C
0,-3,-2,-4,1,-4,12,-3,C
-10,2,0,1,-3,-1,-8,9,C
-2,-3,-1,0,3,4,-2,-3,C
-6,-4,-4,-3,-3,-5,-10,-6,C
-1,4,2,0,-1,-2,5,0,C
-2,-6,-2,-1,1,7,-13,-7,C
4,1,1,-2,-4,9,17,13,C
-9,-1,0,-1,-4,-17,-22,-14,C
-2,-3,-3,-3,-4,-3,5,-6,C
-2,1,-2,1,-1,0,4,6,C
15,-2,0,-1,-1,-4,-18,-4,C
0,0,0,-2,2,9,41,10,C
-10,0,-4,-3,-3,-7,-17,-11,C
4,-2,0,-1,-2,-3,-19,-1,C
-4,-3,-1,0,1,0,-12,-6,C
0,-6,-2,-1,0,-8,1,5,C
-9,5,-2,-2,-2,6,34,0,C
11,-2,-3,-1,-1,5,0,-3,C
9,1,-1,-1,-1,-5,-3,9,C
-5,-10,-2,2,3,14,21,6,C
-19,0,0,0,-2,-8,-20,-6,C
11,3,-2,-1,0,-6,-14,-2,C
-5,-4,0,2,0,3,10,2,C
-5,6,-2,-2,-4,-7,-19,-5,C
4,-8,-3,-1,-1,5,20,11,C
-7,-3,-1,-2,0,1,-8,-11,C
0,1,-2,1,-2,-7,-11,-2,C
-5,-2,-1,0,-1,4,3,-7,C
0,2,0,0,0,1,-17,-3,C
3,-4,-1,0,2,5,33,12,C
-7,0,0,0,-5,-7,-20,-9,C
3,2,-3,-2,-4,0,-2,9,C
7,-2,0,0,2,-2,24,3,C
-4,0,-2,-4,-3,-6,-32,-1,C
-12,1,-1,-2,-2,5,2,-6,C
1,-1,-1,-2,-1,-2,0,-1,D
-6,-5,-1,-2,-2,0,0,-2,D
1,-2,-2,-1,-1,0,-2,2,D
-7,-1,-2,-1,-1,0,2,-1,D
-1,1,-1,-2,-3,-3,-3,-2,D
3,0,-1,0,0,1,1,0,D
-2,-2,0,-2,-1,-2,-2,0,D
0,0,-1,0,0,0,-1,-1,D
-3,-4,-1,-3,-4,-1,-2,1,D
-1,0,-1,-3,-2,-1,-1,-1,D
-2,-1,1,-1,3,6,-1,1,D
0,0,0,-2,-9,-14,-3,-1,D
-4,-3,0,0,-1,0,-1,-1,D
3,-1,-2,-1,-1,2,-2,-1,D
-2,-1,-1,-1,-3,-8,0,-2,D
2,-2,-1,0,2,4,1,0,D
-3,-3,-2,-1,-2,-2,-3,-1,D
0,-1,-1,0,-3,1,2,0,D
-2,0,0,-1,0,0,-1,-1,D
1,-1,0,-1,-1,2,-6,-4,D
0,-2,-1,1,-1,0,4,3,D
-2,-2,-1,0,0,0,-2,1,D
-1,0,-1,-2,-3,-3,-2,0,D
2,0,0,0,-1,2,6,6,D
1,2,-1,-2,-1,-3,-14,-9,D
-1,0,0,-1,0,1,4,2,D
-2,-3,-3,-2,-4,-6,-3,0,D
0,-3,-1,0,-2,-1,2,2,D
0,1,0,-1,1,2,2,-2,D
-1,1,0,0,2,0,-2,-3,D
-1,-2,-1,-3,-2,-2,-3,0,D
0,-1,0,-1,2,3,-1,-2,D
-2,-3,-1,-1,1,0,1,1,D
0,-1,-1,-1,-4,-6,-5,-2,D
-2,-2,-3,1,1,2,4,0,D
-2,-1,-2,-2,-1,-5,-3,-2,D
1,-1,0,1,0,0,0,1,D
-1,0,-2,-3,-4,-3,2,-2,D
-1,-2,-1,-1,-2,-3,-4,-2,D
-4,-3,-2,-1,0,3,-1,-2,D
1,-1,-2,0,-1,0,2,1,D
-2,-2,-2,-1,-2,-3,-4,-2,D
0,-1,-1,-2,0,-1,-1,-4,D
-1,0,-1,-2,-1,0,1,1,D
-3,0,-1,-1,0,-3,-1,-4,D
1,-1,-1,1,0,-1,0,-1,D
-4,-2,-2,-1,0,-1,0,-1,D
-1,-2,0,-1,0,0,-3,-1,D
0,2,-1,-2,-1,0,-3,-1,D
-1,-4,-2,2,0,-1,6,3,D
3,0,-1,1,-2,0,1,-1,D
-4,-1,-2,0,0,-1,4,1,D
2,1,-3,-2,-1,-1,-2,-2,D
0,2,-3,-1,1,-2,-6,-3,D
1,2,-3,1,-1,-1,0,-1,D
0,-2,-3,-2,-2,-2,-5,-2,D
-4,0,-2,-2,1,5,3,-2,D
-1,-2,0,-2,-4,-8,-2,-2,D
0,-2,-1,-3,-2,-2,1,2,D
2,-1,-1,0,2,0,-3,0,D
0,-2,0,1,-2,-6,-1,-1,D
-3,-2,-2,0,2,4,-3,-3,D
-1,-3,-1,-1,-2,-2,-1,0,D
0,-2,0,-1,0,2,0,-3,D
2,-1,-3,-2,-3,-2,0,1,D
-1,0,-2,-2,-1,-2,-2,1,D
-4,0,0,-2,0,0,-1,-3,D
4,0,-2,0,-1,0,-2,-2,D
-3,-2,0,-1,-1,-2,0,1,D
-1,-1,0,0,0,-1,-2,1,D
1,-1,-2,0,2,2,-1,3,D
-1,1,0,-1,-7,-5,1,-2,D
0,-3,-1,0,-3,-2,-2,-1,D
-2,-3,-2,-3,-1,-3,-1,-2,D
-1,-1,-1,-1,-2,1,-2,-1,D
-1,-2,0,1,0,0,3,0,D
1,-1,-1,0,3,3,1,0,D
1,1,-1,0,-2,-5,0,0,D
3,0,-1,0,2,0,-2,-2,D
-1,-2,-1,-2,0,1,-5,1,D
-3,-2,-2,-2,-3,-3,-3,-2,D
1,-1,1,0,1,6,0,-3,D
-1,0,-1,-1,0,-4,-2,-3,D
2,1,-2,1,-1,0,4,3,D
-1,-3,-3,-2,-3,-4,1,0,D
-2,-1,-1,-1,-1,0,-2,0,D
-1,-1,1,-1,-2,0,-2,-3,D
-4,-3,-1,0,1,0,-2,-2,D
0,1,-2,-2,-1,-1,-2,1,D
-2,0,-2,-2,-2,0,0,-1,D
0,-2,-2,-1,-3,0,1,1,D
-3,-1,-1,-1,1,-3,-4,-1,D
2,0,-1,1,-1,-1,-3,-1,D
-3,0,-1,-1,-1,1,-3,-5,D
0,-1,-1,0,0,-1,0,0,D
-1,-1,0,-4,-2,-1,3,-1,D
0,-1,2,0,-3,-4,-2,1,D
-2,-2,0,-1,0,1,1,-3,D
-1,-2,-3,-3,-2,-3,0,-1,D
-1,-1,-2,1,-2,-3,-3,-3,D
1,-4,0,-3,-2,1,-12,4,E
3,0,-6,-7,-4,0,-1,2,E
14,11,-2,-2,-3,-6,-1,0,E
-22,-27,6,1,0,-8,-57,-10,E
1,20,-8,1,3,5,18,-10,E
6,11,7,1,-1,-7,-3,1,E
-9,-7,-4,-4,0,6,0,7,E
10,3,12,2,-2,-10,-3,-10,E
-8,-17,-22,-3,-4,-9,7,-10,E
2,-2,4,3,2,-1,-23,-14,E
3,-3,-8,-6,-3,5,10,9,E
-14,0,-2,-2,-1,7,36,10,E
-18,-16,-10,1,-1,-11,-36,-8,E
56,14,21,4,2,1,0,15,E
50,7,0,-2,-1,5,-5,-13,E
-14,1,-2,1,3,4,26,8,E
-6,-12,-4,-3,-3,-11,5,0,E
-17,14,-2,0,1,17,16,-2,E
-11,-17,4,0,-6,-21,-64,-14,E
-3,-2,-6,-3,-2,-4,-3,-5,E
8,-6,9,0,2,6,12,5,E
-6,5,4,2,5,4,13,2,E
-18,3,-10,-4,-5,-7,3,-6,E
-3,2,-3,1,3,2,-10,5,E
0,-4,5,-1,-2,-1,-3,5,E
-2,-10,-11,-7,-1,3,45,8,E
5,-1,-4,-4,-5,-3,-14,17,E
22,16,11,3,1,-1,18,-5,E
-4,1,-9,-12,-9,-11,-31,-6,E
4,-9,-8,-2,-6,-7,-29,-9,E
-9,-6,1,1,4,8,13,-10,E
-5,4,-2,-2,-5,-4,-1,11,E
7,-6,14,0,0,5,6,0,E
-8,4,-2,0,-3,-13,-1,-7,E
-12,-7,-5,2,2,2,20,4,E
-31,-8,4,0,-2,4,-3,-15,E
10,4,-1,6,6,15,46,29,E
-1,2,-6,-5,-5,-11,-43,-1,E
3,-2,5,2,4,10,-3,4,E
-21,5,-9,-7,-6,-10,-19,-12,E
2,-26,-9,-3,-4,-4,16,2,E
14,26,2,0,-2,3,39,15,E
-11,24,11,3,1,5,43,4,E
-24,-17,-9,-3,-1,-14,-64,-6,E
-15,0,-1,1,-3,-1,4,-9,E
29,0,1,0,-2,-1,-16,6,E
-9,-9,2,2,2,3,12,-19,E
1,-7,1,0,2,2,-12,16,E
15,7,-2,1,-1,0,8,2,E
-10,-10,-1,0,2,9,14,-13,E
4,4,-2,-5,-4,0,-15,7,E
9,-8,-3,-3,1,1,41,-5,E
-4,-3,2,0,0,-6,-13,-3,E
-18,-6,-2,-3,-3,5,6,-15,E
-14,-11,1,3,4,10,46,25,E
20,2,7,-4,-5,-6,-30,-6,E
-8,4,1,2,3,0,-1,-7,E
-38,-24,-2,-1,0,-10,-54,-13,E
14,10,-8,0,2,6,40,0,E
36,-16,19,10,6,3,13,4,E
22,7,4,-2,-3,-1,-31,-16,E
-17,-6,-6,-1,2,2,46,19,E
-10,-2,-7,-6,-5,-14,-55,-15,E
-7,-7,-12,-1,-1,0,10,18,E
-2,-1,0,-7,-7,-10,-21,-30,E
4,5,11,4,1,-8,-7,-4,E
2,-12,-10,-5,-3,-7,-7,-6,E
-40,7,-8,-6,-6,-10,-13,-3,E
25,-1,0,2,5,18,62,23,E
3,4,-6,-3,-3,-19,-61,-11,E
12,4,5,0,0,5,18,16,E
-5,1,-3,1,2,1,-26,-10,E
-12,0,-6,-4,-2,1,-14,-5,E
-22,-10,12,4,0,-8,-29,-10,E
10,-6,-1,1,5,9,-15,-6,E
-8,0,-7,-1,-3,7,58,2,E
-10,-3,-2,0,-1,-4,-16,-9,E
9,7,-3,-3,0,9,18,10,E
-6,-18,0,-4,-7,-22,-32,-12,E
0,8,-6,1,3,13,11,2,E
0,9,8,1,-1,-8,0,9,E
33,4,2,-2,-4,2,-3,18,E
-8,5,3,2,0,-1,23,-7,E
9,-24,-6,-5,-3,-4,-17,0,E
-12,-1,-1,5,2,0,-10,-6,E
-2,-2,-4,-2,-2,-1,-4,-7,E
-1,-1,2,-4,-3,5,-11,2,E
24,16,8,2,0,-2,3,21,E
-3,-8,-12,-5,-6,-8,-40,-11,E
-13,3,-4,-4,0,0,-5,-1,E
-4,1,1,2,1,2,16,2,E
-13,2,-5,-3,1,2,8,-7,E
-7,-6,-3,-1,-3,-4,12,1,E
34,5,-7,-1,0,-3,-16,-12,E
-4,-1,2,-2,-3,-1,-10,-6,E
0,6,3,0,-4,0,30,5,E
-12,-2,-1,-3,-2,-3,-1,-1,E
1,-18,-2,1,-2,-3,17,-1,E
-7,33,-1,-2,0,1,0,0,E
-4,-5,-11,-4,-3,-7,-23,-10,E
-4,2,0,-4,-3,-4,-25,-2,F
7,-5,-2,5,2,-2,26,-6,F
-5,5,-5,-7,-9,-7,-21,-4,F
-7,-3,3,-1,-3,1,9,0,F
5,-2,0,2,0,-4,-42,-1,F
5,-3,-11,-12,-11,-8,5,2,F
-13,0,2,0,1,0,19,-5,F
-12,-8,-11,-7,-2,0,13,5,F
-5,-10,0,2,-2,1,1,0,F
25,-4,3,-1,-4,5,0,3,F
-12,16,0,1,-2,-17,-26,-17,F
0,-9,-3,-4,-2,-1,27,4,F
-11,6,3,3,3,3,-15,-1,F
-28,-21,1,2,3,4,9,-3,F
17,-3,-6,-3,-2,1,11,-3,F
3,4,0,1,2,4,1,-2,F
5,-4,-3,-5,-4,-3,19,-1,F
-2,9,3,6,1,-6,-30,2,F
